name,type,start_time,duration,"ack","address","read","data"
"I2C","data",2.1809279,0.0000877,false,,,0x07
"I2C","data",2.1810204,0.0000877,true,,,0x80
"I2C","data",2.181113,0.0000877,true,,,0xA2
"I2C","data",2.1812055,0.0000877,true,,,0x08
"I2C","data",2.1812981,0.0000877,false,,,0x02
"I2C","data",2.1813906,0.0000877,true,,,0x03
"I2C","data",2.1814832,0.0000877,false,,,0x06
"I2C","data",2.1815757,0.0000877,true,,,0x80
"I2C","data",2.1816683,0.0000877,false,,,0x06
"I2C","data",2.1817608,0.0000877,true,,,0xA8
"I2C","data",2.1818534,0.0000876,false,,,0x06
"I2C","start",2.1819616,0.0000001,,,,
"I2C","address",2.1819664,0.0000877,true,0x00,false,
"I2C","data",2.182059,0.0000877,true,,,0x1C
"I2C","data",2.1821515,0.0000877,false,,,0x00
"I2C","data",2.1822441,0.0000877,true,,,0x1C
"I2C","data",2.1823366,0.0000877,true,,,0xA5
"I2C","data",2.1824292,0.0000877,false,,,0x1C
"I2C","data",2.1825217,0.0000877,true,,,0xB0
"I2C","data",2.1826143,0.0000877,false,,,0x84
"I2C","data",2.1827068,0.0000877,true,,,0x10
"I2C","data",2.1827994,0.0000877,false,,,0x05
"I2C","data",2.1828919,0.0000774,true,,,0x82
"I2C","data",2.1829742,0.0000877,true,,,0x43
"I2C","data",2.1830667,0.0000877,true,,,0x08
"I2C","data",2.1831593,0.0000877,true,,,0xC3
"I2C","data",2.1832518,0.0000877,true,,,0x40
"I2C","data",2.1833444,0.0000877,true,,,0x03
"I2C","data",2.1834369,0.0000877,true,,,0x89
"I2C","data",2.1835295,0.0000877,true,,,0xC6
"I2C","data",2.183622,0.0000877,true,,,0x81
"I2C","data",2.1837146,0.0000877,false,,,0x46
"I2C","data",2.1838071,0.0000877,true,,,0xD8
"I2C","data",2.1838996,0.0000877,false,,,0x09
"I2C","data",2.1839922,0.0000877,true,,,0xCC
"I2C","data",2.1840847,0.0000877,true,,,0x0A
"I2C","data",2.1841773,0.0000877,true,,,0x15
"I2C","data",2.1842698,0.0000877,false,,,0x0D
"I2C","data",2.1843623,0.0000878,true,,,0x40
"I2C","data",2.1844549,0.0000877,false,,,0x07
"I2C","data",2.1845474,0.0000878,true,,,0x47
"I2C","data",2.18464,0.0000877,false,,,0x08
"I2C","data",2.1847325,0.0000877,false,,,0x87
"I2C","data",2.1848251,0.0000877,false,,,0xC9
"I2C","data",2.1849176,0.0000774,true,,,0xE6
"I2C","data",2.1849999,0.0000877,false,,,0x00
"I2C","data",2.1850924,0.0000877,false,,,0x83
"I2C","data",2.185185,0.0000877,false,,,0x8F
"I2C","data",2.1852775,0.0000877,true,,,0xE0
"I2C","data",2.1853701,0.0000877,true,,,0x0E
"I2C","data",2.1854626,0.0000877,false,,,0xA7
"I2C","data",2.1855552,0.0000877,false,,,0xEF
"I2C","data",2.1856477,0.0000877,true,,,0x2C
"I2C","data",2.1857403,0.0000877,true,,,0x04
"I2C","data",2.1858328,0.0000877,true,,,0x22
"I2C","data",2.1859254,0.0000876,true,,,0x8E
"I2C","data",2.1860179,0.0000877,true,,,0x01
"I2C","data",2.1861104,0.0000877,true,,,0x87
"I2C","data",2.186203,0.0000877,false,,,0xCF
"I2C","data",2.1862955,0.0000877,true,,,0xE3
"I2C","data",2.1863881,0.0000877,true,,,0x6A
"I2C","data",2.1864806,0.0000877,true,,,0x04
"I2C","data",2.1865732,0.0000876,true,,,0x42
"I2C","data",2.1866657,0.0000877,true,,,0x04
"I2C","data",2.1867583,0.0000876,false,,,0x61
"I2C","data",2.1868508,0.0000877,false,,,0x04
"I2C","data",2.1869433,0.0000877,true,,,0x80
"I2C","data",2.1870359,0.0000877,true,,,0x08
"I2C","data",2.1871284,0.0000877,true,,,0xED
"I2C","data",2.187221,0.0000876,false,,,0xA8
"I2C","data",2.1873135,0.0000877,false,,,0x03
"I2C","data",2.187406,0.0000877,true,,,0xED
"I2C","data",2.1874986,0.0000877,true,,,0xE0
"I2C","data",2.1875911,0.0000877,false,,,0x6D
"I2C","data",2.1876836,0.0000878,true,,,0x21
